Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.1%  Builtin: Divide
      5    0.0%    0.1%  Stub: StringAddStub {2}
      5    0.0%    0.1%  RegExp: (?:^|\\W)chunked(?:$|\\W)
      5    0.0%    0.1%  LazyCompile: *stringify C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:1059:19
      5    0.0%    0.1%  LazyCompile: *onCorkedFinish _stream_writable.js:623:24
      5    0.0%    0.1%  LazyCompile: *next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\route.js:114:16
      5    0.0%    0.1%  LazyCompile: *getip C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:457:15
      5    0.0%    0.1%  LazyCompile: *exports.enroll timers.js:396:26
      5    0.0%    0.1%  LazyCompile: *InnerArraySort native array.js:530:24
      5    0.0%    0.1%  Builtin: NonNumberToNumber
      5    0.0%    0.1%  Builtin: MathMin
      5    0.0%    0.1%  Builtin: HasProperty
      5    0.0%    0.1%  Builtin: ErrorConstructor
      5    0.0%    0.1%  Builtin: CallWithArrayLike
      4    0.0%    0.1%  Stub: CallApiCallbackStub {3}
      4    0.0%    0.1%  RegExp: ^text\\/
      4    0.0%    0.1%  LazyCompile: *resume_ _stream_readable.js:819:17
      4    0.0%    0.1%  LazyCompile: *onHeaders C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:23:36
      4    0.0%    0.1%  LazyCompile: *onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
      4    0.0%    0.1%  LazyCompile: *afterWrite _stream_writable.js:450:20
      4    0.0%    0.1%  Handler: An IC handler from the snapshot
      4    0.0%    0.1%  Function: ~wetag C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:52:31
      4    0.0%    0.1%  Function: ~setWriteHeadHeaders C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-headers\index.js:59:29
      4    0.0%    0.1%  Function: ~resume_ _stream_readable.js:819:17
      4    0.0%    0.1%  Function: ~onevent C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:81:26
      4    0.0%    0.1%  Function: ~app.(anonymous function) C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\application.js:472:25
